sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
362,724000000,0.227332,-2.00973,0.0549029,1.348e-05,-4.5655e-06,-0.142063,1.36193e-07,7.29786e-07,9.04091e-05,-1.32449e-05,2.47177e-06,5.23018e-11
362,744000000,0.227332,-2.00973,0.0549048,1.32117e-05,-4.47465e-06,-0.142063,1.33478e-07,7.15236e-07,8.861e-05,-1.29813e-05,2.42259e-06,5.02415e-11
362,764000000,0.227332,-2.00973,0.0549066,1.29488e-05,-4.3856e-06,-0.142063,1.30817e-07,7.00977e-07,8.68466e-05,-1.2723e-05,2.37438e-06,4.82603e-11
362,784000000,0.227332,-2.00973,0.0549085,1.26912e-05,-4.29833e-06,-0.142063,1.43185e-07,7.6725e-07,9.506e-05,-1.39263e-05,2.59893e-06,5.20464e-11
362,804000000,0.227332,-2.00973,0.0549103,1.24386e-05,-4.21279e-06,-0.142063,1.40331e-07,7.51957e-07,9.31684e-05,-1.36491e-05,2.54721e-06,4.9995e-11
362,824000000,0.227332,-2.00973,0.054912,1.21911e-05,-4.12896e-06,-0.142063,1.37533e-07,7.36968e-07,9.13143e-05,-1.33775e-05,2.49652e-06,4.80258e-11
362,844000000,0.227332,-2.00973,0.0549137,1.19485e-05,-4.04679e-06,-0.142063,1.34792e-07,7.22279e-07,8.94971e-05,-1.31113e-05,2.44684e-06,4.61334e-11
362,864000000,0.227332,-2.00973,0.0549154,1.17107e-05,-3.96626e-06,-0.142063,1.32106e-07,7.07883e-07,8.77162e-05,-1.28504e-05,2.39815e-06,4.43157e-11
362,884000000,0.227332,-2.00973,0.0549171,1.14776e-05,-3.88733e-06,-0.142063,1.29473e-07,6.93775e-07,8.59706e-05,-1.25947e-05,2.35043e-06,4.25709e-11
362,904000000,0.227332,-2.00973,0.0549187,1.12492e-05,-3.80997e-06,-0.142063,1.26892e-07,6.79948e-07,8.42598e-05,-1.2344e-05,2.30365e-06,4.0894e-11
362,924000000,0.227332,-2.00973,0.0549203,1.10254e-05,-3.73416e-06,-0.142063,1.24363e-07,6.66397e-07,8.2583e-05,-1.20984e-05,2.25781e-06,3.92814e-11
362,944000000,0.227332,-2.00973,0.0549218,1.0806e-05,-3.65985e-06,-0.142063,1.21885e-07,6.53116e-07,8.09396e-05,-1.18576e-05,2.21288e-06,3.77334e-11
362,964000000,0.227332,-2.00973,0.0549233,1.05909e-05,-3.58702e-06,-0.142063,1.19456e-07,6.40101e-07,7.93289e-05,-1.16217e-05,2.16884e-06,3.62468e-11
362,984000000,0.227332,-2.00973,0.0549248,1.03802e-05,-3.51563e-06,-0.142063,1.17075e-07,6.27345e-07,7.77503e-05,-1.13904e-05,2.12568e-06,3.48171e-11
363,4000000,0.227332,-2.00973,0.0549263,1.01736e-05,-3.44567e-06,-0.142063,1.14743e-07,6.14844e-07,7.6203e-05,-1.11637e-05,2.08338e-06,3.34444e-11
363,24000000,0.227332,-2.00973,0.0549277,9.97116e-06,-3.3771e-06,-0.142063,1.12456e-07,6.02592e-07,7.46866e-05,-1.09416e-05,2.04192e-06,3.21282e-11
363,44000000,0.227332,-2.00973,0.0549291,9.77273e-06,-3.3099e-06,-0.142063,1.10215e-07,5.90585e-07,7.32003e-05,-1.07238e-05,2.00129e-06,3.08614e-11
363,64000000,0.227332,-2.00973,0.0549305,9.57826e-06,-3.24403e-06,-0.142063,1.08019e-07,5.78817e-07,7.17436e-05,-1.05104e-05,1.96146e-06,2.96449e-11
363,84000000,0.227332,-2.00973,0.0549319,9.38765e-06,-3.17948e-06,-0.142063,1.05867e-07,5.67284e-07,7.0316e-05,-1.03013e-05,1.92243e-06,2.84772e-11
363,104000000,0.227332,-2.00973,0.0549332,9.20084e-06,-3.1162e-06,-0.142063,1.03758e-07,5.55981e-07,6.89167e-05,-1.00963e-05,1.88417e-06,2.73556e-11
363,124000000,0.227332,-2.00973,0.0549345,9.01774e-06,-3.05419e-06,-0.142063,1.0169e-07,5.44904e-07,6.75452e-05,-9.89536e-06,1.84668e-06,2.6277e-11
363,144000000,0.227332,-2.00973,0.0549358,8.83829e-06,-2.99341e-06,-0.142063,9.96642e-08,5.34048e-07,6.62011e-05,-9.69845e-06,1.80993e-06,2.52426e-11
363,164000000,0.227332,-2.00973,0.054937,8.6624e-06,-2.93384e-06,-0.142063,9.76786e-08,5.23408e-07,6.48837e-05,-9.50545e-06,1.77391e-06,2.42481e-11
363,184000000,0.227332,-2.00973,0.0549382,8.49002e-06,-2.87546e-06,-0.142063,9.57326e-08,5.1298e-07,6.35925e-05,-9.31629e-06,1.73861e-06,2.3293e-11
363,204000000,0.227332,-2.00973,0.0549394,8.32107e-06,-2.81824e-06,-0.142063,9.38254e-08,5.0276e-07,6.2327e-05,-9.13089e-06,1.70401e-06,2.23754e-11
363,224000000,0.227332,-2.00973,0.0549406,8.15548e-06,-2.76216e-06,-0.142063,9.19562e-08,4.92744e-07,6.10867e-05,-8.94919e-06,1.6701e-06,2.14934e-11
363,244000000,0.227332,-2.00973,0.0549418,7.99319e-06,-2.70719e-06,-0.142063,9.01243e-08,4.82928e-07,5.98711e-05,-8.7711e-06,1.63687e-06,2.0646e-11
363,264000000,0.227332,-2.00973,0.0549429,7.83412e-06,-2.65332e-06,-0.142063,8.8329e-08,4.73308e-07,5.86796e-05,-8.59656e-06,1.60429e-06,1.98322e-11
363,284000000,0.227332,-2.00973,0.054944,7.67822e-06,-2.60052e-06,-0.142063,8.65694e-08,4.63879e-07,5.75119e-05,-8.42548e-06,1.57237e-06,1.90509e-11
363,304000000,0.227332,-2.00973,0.0549451,7.52543e-06,-2.54877e-06,-0.142063,8.4845e-08,4.54639e-07,5.63674e-05,-8.25782e-06,1.54108e-06,1.83012e-11
363,324000000,0.227332,-2.00973,0.0549461,7.37567e-06,-2.49805e-06,-0.142063,8.31549e-08,4.45583e-07,5.52457e-05,-8.09349e-06,1.51041e-06,1.75798e-11
363,344000000,0.227332,-2.00973,0.0549472,7.2289e-06,-2.44833e-06,-0.142063,8.14985e-08,4.36707e-07,5.41463e-05,-7.93243e-06,1.48035e-06,1.68873e-11
363,364000000,0.227332,-2.00973,0.0549482,7.08504e-06,-2.39961e-06,-0.142063,7.98751e-08,4.28008e-07,5.30688e-05,-7.77457e-06,1.45089e-06,1.62234e-11
363,384000000,0.227332,-2.00973,0.0549497,6.87461e-06,-2.32834e-06,-0.142063,8.5688e-08,4.59156e-07,5.69322e-05,-8.34057e-06,1.55652e-06,1.69759e-11
363,404000000,0.227332,-2.00973,0.0549497,6.87461e-06,-2.32834e-06,-0.142063,6.93949e-08,3.7185e-07,4.61074e-05,-6.75472e-06,1.26057e-06,1.36033e-11
363,424000000,0.227332,-2.00973,0.0549511,6.67042e-06,-2.25919e-06,-0.142063,7.51965e-08,4.02938e-07,4.99632e-05,-7.3196e-06,1.36599e-06,1.43791e-11
363,444000000,0.227332,-2.00973,0.0549525,6.47231e-06,-2.19209e-06,-0.142063,8.0669e-08,4.32262e-07,5.36006e-05,-7.85248e-06,1.46543e-06,1.5046e-11
363,464000000,0.227332,-2.00973,0.0549525,6.47231e-06,-2.19209e-06,-0.142063,6.53302e-08,3.5007e-07,4.34092e-05,-6.35944e-06,1.1868e-06,1.20562e-11
363,484000000,0.227332,-2.00973,0.0549539,6.28007e-06,-2.12698e-06,-0.142063,6.33882e-08,3.39664e-07,4.21199e-05,-6.17055e-06,1.15155e-06,1.13506e-11
363,504000000,0.227332,-2.00973,0.0549552,6.09355e-06,-2.06381e-06,-0.142063,8.32741e-08,4.46222e-07,5.53342e-05,-8.10645e-06,1.51283e-06,1.47005e-11
363,524000000,0.227332,-2.00973,0.0549552,6.09355e-06,-2.06381e-06,-0.142063,6.1504e-08,3.29567e-07,4.08689e-05,-5.98728e-06,1.11735e-06,1.06856e-11
363,544000000,0.227332,-2.00973,0.0549565,5.91256e-06,-2.00251e-06,-0.142063,5.96758e-08,3.19771e-07,3.9655e-05,-5.80945e-06,1.08416e-06,1.00631e-11
363,564000000,0.227332,-2.00973,0.0549577,5.73695e-06,-1.94303e-06,-0.142063,7.83972e-08,4.20089e-07,5.20961e-05,-7.63206e-06,1.4243e-06,1.30315e-11
363,584000000,0.227332,-2.00973,0.0549577,5.73695e-06,-1.94303e-06,-0.142063,5.79021e-08,3.10266e-07,3.84772e-05,-5.63691e-06,1.05196e-06,9.47381e-12
363,604000000,0.227332,-2.00973,0.0549589,5.56656e-06,-1.88532e-06,-0.142063,5.6181e-08,3.01044e-07,3.73344e-05,-5.46949e-06,1.02072e-06,8.92009e-12
363,624000000,0.227332,-2.00973,0.0549601,5.40123e-06,-1.82933e-06,-0.142063,7.3806e-08,3.95487e-07,4.90474e-05,-7.18544e-06,1.34095e-06,1.1553e-11
363,644000000,0.227332,-2.00973,0.0549601,5.40123e-06,-1.82933e-06,-0.142063,5.45112e-08,2.92097e-07,3.62255e-05,-5.30704e-06,9.90402e-07,8.39745e-12
