sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
967,764000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,784000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,804000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,824000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,844000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,864000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,884000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,904000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,924000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,944000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,964000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
967,984000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,4000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,24000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,44000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,64000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,84000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
968,104000000,-0.324195,-1.74971,0.0549976,5.11702e-08,8.45233e-08,-0.242274,0,0,0,0,0,0
