sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
425,164000000,-0.143163,-2.12836,0.0548515,2.48142e-05,-5.81688e-06,-0.244501,-2.11655e-08,1.48606e-06,0.000155323,-2.69439e-05,-3.83754e-07,8.72005e-11
425,184000000,-0.143163,-2.12836,0.0548544,2.43204e-05,-5.70112e-06,-0.244501,-2.07432e-08,1.45641e-06,0.000152232,-2.64077e-05,-3.76117e-07,8.37652e-11
425,204000000,-0.143163,-2.12836,0.0548573,2.38365e-05,-5.58767e-06,-0.244501,-2.03293e-08,1.42735e-06,0.000149202,-2.58822e-05,-3.68632e-07,8.04656e-11
425,224000000,-0.143163,-2.12836,0.0548601,2.33621e-05,-5.47647e-06,-0.244501,-1.99237e-08,1.39887e-06,0.000146233,-2.53671e-05,-3.61296e-07,7.72923e-11
425,244000000,-0.143163,-2.12836,0.0548628,2.28972e-05,-5.36749e-06,-0.244501,-1.95262e-08,1.37096e-06,0.000143323,-2.48623e-05,-3.54107e-07,7.42481e-11
425,264000000,-0.143163,-2.12836,0.0548655,2.24416e-05,-5.26068e-06,-0.244501,-1.91366e-08,1.34361e-06,0.000140471,-2.43676e-05,-3.4706e-07,7.13227e-11
425,284000000,-0.143163,-2.12836,0.0548682,2.1995e-05,-5.15599e-06,-0.244501,-1.87548e-08,1.3168e-06,0.000137676,-2.38827e-05,-3.40154e-07,6.85113e-11
425,304000000,-0.143163,-2.12836,0.0548708,2.15573e-05,-5.05339e-06,-0.244501,-1.83807e-08,1.29054e-06,0.000134936,-2.34074e-05,-3.33384e-07,6.58104e-11
425,324000000,-0.143163,-2.12836,0.0548733,2.11283e-05,-4.95283e-06,-0.244501,-1.80141e-08,1.26479e-06,0.000132251,-2.29416e-05,-3.2675e-07,6.32192e-11
425,344000000,-0.143163,-2.12836,0.0548758,2.07078e-05,-4.85426e-06,-0.244501,-1.76548e-08,1.23957e-06,0.000129619,-2.24851e-05,-3.20248e-07,6.07261e-11
425,364000000,-0.143163,-2.12836,0.0548782,2.02957e-05,-4.75766e-06,-0.244501,-1.73026e-08,1.21484e-06,0.00012704,-2.20376e-05,-3.13875e-07,5.83328e-11
425,384000000,-0.143163,-2.12836,0.0548806,1.98919e-05,-4.66299e-06,-0.244501,-1.69575e-08,1.19061e-06,0.000124511,-2.15991e-05,-3.07629e-07,5.60349e-11
425,404000000,-0.143163,-2.12836,0.054883,1.9496e-05,-4.57019e-06,-0.244501,-1.66193e-08,1.16687e-06,0.000122034,-2.11692e-05,-3.01507e-07,5.38269e-11
425,424000000,-0.143163,-2.12836,0.0548853,1.9108e-05,-4.47925e-06,-0.244501,-1.62879e-08,1.1436e-06,0.000119605,-2.0748e-05,-2.95507e-07,5.17048e-11
425,444000000,-0.143163,-2.12836,0.0548875,1.87278e-05,-4.39011e-06,-0.244501,-1.59631e-08,1.12079e-06,0.000117225,-2.03351e-05,-2.89626e-07,4.96689e-11
425,464000000,-0.143163,-2.12836,0.0548897,1.83551e-05,-4.30275e-06,-0.244501,-1.56448e-08,1.09844e-06,0.000114892,-1.99304e-05,-2.83863e-07,4.77124e-11
425,484000000,-0.143163,-2.12836,0.0548919,1.79898e-05,-4.21712e-06,-0.244501,-1.53328e-08,1.07654e-06,0.000112606,-1.95338e-05,-2.78214e-07,4.58331e-11
425,504000000,-0.143163,-2.12836,0.054894,1.76318e-05,-4.1332e-06,-0.244501,-1.50271e-08,1.05507e-06,0.000110365,-1.91451e-05,-2.72677e-07,4.40278e-11
425,524000000,-0.143163,-2.12836,0.0548961,1.7281e-05,-4.05095e-06,-0.244501,-1.47274e-08,1.03404e-06,0.000108169,-1.87641e-05,-2.67251e-07,4.22923e-11
425,544000000,-0.143163,-2.12836,0.0548981,1.69371e-05,-3.97034e-06,-0.244501,-1.44338e-08,1.01342e-06,0.000106016,-1.83907e-05,-2.61933e-07,4.06258e-11
