sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
26,584000000,-5.35556e-18,-2,0.0549915,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,604000000,-5.35556e-18,-2,0.0549915,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,624000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,-9.63082e-19,-3.10591e-22,1.02078e-05,2.11733e-17,-2.57485e-17,-3.94584e-18
26,644000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,-9.63082e-19,-3.10591e-22,1.02078e-05,2.11733e-17,-2.57485e-17,-3.94584e-18
26,664000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,-9.63082e-19,-3.10591e-22,1.02078e-05,2.11733e-17,-2.57485e-17,-3.94584e-18
26,684000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,-9.63082e-19,-3.10591e-22,1.02078e-05,2.11733e-17,-2.57485e-17,-3.94584e-18
26,704000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,-9.63082e-19,-3.10591e-22,1.02078e-05,2.11733e-17,-2.57485e-17,-3.94584e-18
26,724000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,744000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,764000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,784000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,804000000,-5.4519e-18,-2,0.0549925,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,824000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,-9.42456e-19,-2.82246e-22,1.01712e-05,2.67741e-17,1.76065e-17,-3.64402e-18
26,844000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,-9.42456e-19,-2.82246e-22,1.01712e-05,2.67741e-17,1.76065e-17,-3.64402e-18
26,864000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,-9.42456e-19,-2.82246e-22,1.01712e-05,2.67741e-17,1.76065e-17,-3.64402e-18
26,884000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,-9.42456e-19,-2.82246e-22,1.01712e-05,2.67741e-17,1.76065e-17,-3.64402e-18
26,904000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,-9.42456e-19,-2.82246e-22,1.01712e-05,2.67741e-17,1.76065e-17,-3.64402e-18
26,924000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,944000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,964000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
26,984000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,4000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,24000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,44000000,-5.54619e-18,-2,0.0549935,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,64000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,-4.81558e-18,-3.031e-22,1.03605e-05,-1.50594e-17,-7.61287e-17,-7.2061e-18
27,84000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,-4.81558e-18,-3.031e-22,1.03605e-05,-1.50594e-17,-7.61287e-17,-7.2061e-18
27,104000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,-4.81558e-18,-3.031e-22,1.03605e-05,-1.50594e-17,-7.61287e-17,-7.2061e-18
27,124000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,-4.81558e-18,-3.031e-22,1.03605e-05,-1.50594e-17,-7.61287e-17,-7.2061e-18
27,144000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,-4.81558e-18,-3.031e-22,1.03605e-05,-1.50594e-17,-7.61287e-17,-7.2061e-18
27,164000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,184000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,204000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,224000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,244000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,264000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,284000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,304000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,324000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,344000000,-6.02779e-18,-2,0.0549946,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,364000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,-2.02322e-18,-3.13599e-22,1.01672e-05,-1.58876e-17,-1.18937e-17,-6.48462e-18
27,384000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,-2.02322e-18,-3.13599e-22,1.01672e-05,-1.58876e-17,-1.18937e-17,-6.48462e-18
27,404000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,-2.02322e-18,-3.13599e-22,1.01672e-05,-1.58876e-17,-1.18937e-17,-6.48462e-18
27,424000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,-2.02322e-18,-3.13599e-22,1.01672e-05,-1.58876e-17,-1.18937e-17,-6.48462e-18
27,444000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,-2.02322e-18,-3.13599e-22,1.01672e-05,-1.58876e-17,-1.18937e-17,-6.48462e-18
27,464000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,484000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,504000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,524000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,544000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,564000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,584000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,604000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,624000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,644000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,664000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,684000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,704000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,724000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,744000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,764000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,784000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,804000000,-6.23016e-18,-2,0.0549956,3.14159,-3.14159,3.14159,0,0,0,0,0,0
27,824000000,-6.41582e-18,-2,0.0549966,3.14159,-3.14159,3.14159,-1.85607e-18,-3.65502e-22,1.01188e-05,-5.27696e-17,-5.18586e-17,-1.03616e-17
